,ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
189,"10,11-dihydro-10-hydroxycarbamazepine",C039775,,Parkinson Disease,MESH:D010300,,ABCB1,4.26,,20558393
769,10-deacetylpaclitaxel,C095360,,Parkinson Disease,MESH:D010300,,ABCB1,4.81,,20558393
1284,10-hydroxynortriptyline,C013567,1156-99-6,Parkinson Disease,MESH:D010300,,CYP2D6,4.75,,14991823|15174030
1907,"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Parkinson Disease,MESH:D010300,,TNF,3.56,,21318773
2734,10-nitro-oleic acid,C521487,,Parkinson Disease,MESH:D010300,,GSTA4,8.82,,16510128
2735,10-nitro-oleic acid,C521487,,Parkinson Disease,MESH:D010300,,HMOX1,8.82,,21318773
2736,10-nitro-oleic acid,C521487,,Parkinson Disease,MESH:D010300,,TNF,8.82,,21318773
4739,"1,10-phenanthroline",C025205,66-71-7,Parkinson Disease,MESH:D010300,,BDNF,11.24,,19276553
4740,"1,10-phenanthroline",C025205,66-71-7,Parkinson Disease,MESH:D010300,,ENO2,11.24,,30236862
4741,"1,10-phenanthroline",C025205,66-71-7,Parkinson Disease,MESH:D010300,,HMOX1,11.24,,21318773
4742,"1,10-phenanthroline",C025205,66-71-7,Parkinson Disease,MESH:D010300,,SOD1,11.24,,15824117|16353238|21318773
4743,"1,10-phenanthroline",C025205,66-71-7,Parkinson Disease,MESH:D010300,,SOD2,11.24,,17188257|18353766|25279756
5499,"1,1,1,2-tetrafluoro-2-chloroethane",C072959,2837-89-0,Parkinson Disease,MESH:D010300,,CYP2E1,4.46,,16510128
5865,"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Parkinson Disease,MESH:D010300,,CYP2D6,6.36,,14991823|15174030
5866,"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Parkinson Disease,MESH:D010300,,CYP2E1,6.36,,16510128
6126,"1,1,1-trichloroethane",C024566,71-55-6,Parkinson Disease,MESH:D010300,,CYP2E1,4.24,,16510128
6127,"1,1,1-trichloroethane",C024566,71-55-6,Parkinson Disease,MESH:D010300,,HMOX1,4.24,,21318773
7221,"1,12-benzoperylene",C006718,191-24-2,Parkinson Disease,MESH:D010300,,IL6,3.21,,21318773
7222,"1,12-benzoperylene",C006718,191-24-2,Parkinson Disease,MESH:D010300,,PPARGC1A,3.21,,30236862
7223,"1,12-benzoperylene",C006718,191-24-2,Parkinson Disease,MESH:D010300,,TNF,3.21,,21318773
7739,"1,1,4-tris(acetyloxy)-2-nonene",C449673,,Parkinson Disease,MESH:D010300,,GSTA4,4.56,,16510128
8142,1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Parkinson Disease,MESH:D010300,,IL6,6.93,,21318773
8143,1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Parkinson Disease,MESH:D010300,,SOD1,6.93,,15824117|16353238|21318773
8416,"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,Parkinson Disease,MESH:D010300,,SLC6A3,8.47,,16112329|16963468|19590691|9763484
8417,"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,Parkinson Disease,MESH:D010300,,TH,8.47,,30236862
8876,"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Parkinson Disease,MESH:D010300,,SLC6A3,6.12,,16112329|16963468|19590691|9763484
8877,"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Parkinson Disease,MESH:D010300,,TH,6.12,,30236862
9384,"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Parkinson Disease,MESH:D010300,,TNF,3.06,,21318773
9560,"1,1-bis(3'-indolyl)-1-(p-anisyl)methane",C545255,,Parkinson Disease,MESH:D010300,,SLC6A3,10.05,,16112329|16963468|19590691|9763484
9561,"1,1-bis(3'-indolyl)-1-(p-anisyl)methane",C545255,,Parkinson Disease,MESH:D010300,,TH,10.05,,30236862
10063,"1,1-bis(4-hydroxyphenyl)cyclohexane",C517113,,Parkinson Disease,MESH:D010300,,DDIT4,4.74,,17005863
10064,"1,1-bis(4-hydroxyphenyl)cyclohexane",C517113,,Parkinson Disease,MESH:D010300,,IGF1R,4.74,,19276553
10289,11-dehydrocorticosterone,C003552,72-23-1,Parkinson Disease,MESH:D010300,,IL6,3.68,,21318773
10749,11-deoxyprostaglandin E1,C034008,37786-00-8,Parkinson Disease,MESH:D010300,,TNF,3.56,,21318773
10861,"1,1-dichloro-1-fluoroethane",C068320,,Parkinson Disease,MESH:D010300,,CYP2E1,4.12,,16510128
10942,"1,1-dichloroethane",C501196,75-34-3,Parkinson Disease,MESH:D010300,,CYP2E1,4.12,,16510128
11098,"1,1-diethyl-2-hydroxy-2-nitrosohydrazine",C084012,86831-65-4,Parkinson Disease,MESH:D010300,,GPX1,3.87,,15824117
12559,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Parkinson Disease,MESH:D010300,,GFAP,9.07,,19276553
12560,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Parkinson Disease,MESH:D010300,,HMOX1,9.07,,21318773
12561,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Parkinson Disease,MESH:D010300,,IL6,9.07,,21318773
12562,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Parkinson Disease,MESH:D010300,,TNF,9.07,,21318773
13095,"11-fluoro-7-(14,14,15,15-pentafluoro-6-methyl-10-thia-6-azapentadecyl)estra-1,3-5(10)-triene-3,17-diol",C541120,,Parkinson Disease,MESH:D010300,,NQO1,3.6,,17188257
13971,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Parkinson Disease,MESH:D010300,,CYP2E1,14.12,,16510128
13972,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Parkinson Disease,MESH:D010300,,HMOX1,14.12,,21318773
13973,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Parkinson Disease,MESH:D010300,,INS,14.12,,19276553
13974,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Parkinson Disease,MESH:D010300,,INSR,14.12,,19276553
14832,11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,Parkinson Disease,MESH:D010300,,ADARB2,3.87,,25475535
14833,11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,Parkinson Disease,MESH:D010300,,MAP3K5,3.87,,21815648
15448,1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,Parkinson Disease,MESH:D010300,,HMOX1,3.19,,21318773
16122,1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,Parkinson Disease,MESH:D010300,,TNF,3.22,,21318773
17702,"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Parkinson Disease,MESH:D010300,,IL6,7.19,,21318773
17703,"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Parkinson Disease,MESH:D010300,,TNF,7.19,,21318773
